,BM_L,CK_L,CY_L,DS_S,DT_S,DT_L,HL_L,HS_L,HY_L,JF_S,JF_L,JL_S,KD_L,KD_S,LB_L,MK_S,MN_S,PW_L,TB_S,WC_L,YD_L,YJ_S,BG_L
BM_L,0,1478406.99,308161.82,809692.69,677210.3,677210.3,906229.12,478982.35,774084.33,1283523.09,1283523.09,636050.22,697413.07,697413.07,892585.66,772470.78,720902.32,957220.04,1339295.65,1209158.98,508978.26,579971.37,436565.99
CK_L,1478406.99,0,1172790.71,668929.43,823587.17,823587.17,573911.95,1003767.4,707836.43,216048.22,216048.22,845122.1,782137.92,782137.92,595039.17,706176.36,761436.77,522911.36,162358.08,271637.81,973483.76,899244.87,1046851.22
CY_L,308161.82,1172790.71,0,503961.61,394464.02,394464.02,603514.92,170825.75,466523.6,975797.2,975797.2,328464.54,390711.15,390711.15,584551.81,468739.72,413159.13,654167.93,1037186.75,905124.92,200872.68,273569.59,128493.44
DS_S,809692.69,668929.43,503961.61,0,202288.9,202288.9,107098.75,336009.73,53510.52,476835.55,476835.55,178076.24,113990.44,113990.44,104849.59,45373.27,99741.22,154283.13,535363.67,401673.25,305848.67,230395.79,379017.3
DT_S,677210.3,823587.17,394464.02,202288.9,0,0,258281.64,262208.23,209528.37,652385.06,652385.06,176311.06,161083.93,161083.93,307010.39,157715.22,190641.27,306641.17,673758.89,552230.35,240571.72,174985.88,296232.32
DT_L,677210.3,823587.17,394464.02,202288.9,0,0,258281.64,262208.23,209528.37,652385.06,652385.06,176311.06,161083.93,161083.93,307010.39,157715.22,190641.27,306641.17,673758.89,552230.35,240571.72,174985.88,296232.32
HL_L,906229.12,573911.95,603514.92,107098.75,258281.64,258281.64,0,438459.4,158524.82,394362.87,394362.87,282601.64,218361.99,218361.99,117315.76,134946.35,206814.72,51059.53,433693.01,303172.63,408634.8,331356.82,481132.98
HS_L,478982.35,1003767.4,170825.75,336009.73,262208.23,262208.23,438459.4,0,296370.01,805242.4,805242.4,158645.35,222070.83,222070.83,413806.61,303679.16,242841.01,488443.26,871090.21,737676.51,30289.7,107478.45,43084.31
HY_L,774084.33,707836.43,466523.6,53510.52,209528.37,209528.37,158524.82,296370.01,0,509442.92,509442.92,138071.09,78720.91,78720.91,120324.76,64398.66,53606.74,202981.77,579484.97,444254.8,266091.77,194821.99,339406.14
JF_S,1283523.09,216048.22,975797.2,476835.55,652385.06,652385.06,394362.87,805242.4,509442.92,0,0,647476.75,586638.74,586638.74,391711.48,518043.18,562660.33,345901.66,175907.17,139448.19,775042.24,703932.17,848122.29
JF_L,1283523.09,216048.22,975797.2,476835.55,652385.06,652385.06,394362.87,805242.4,509442.92,0,0,647476.75,586638.74,586638.74,391711.48,518043.18,562660.33,345901.66,175907.17,139448.19,775042.24,703932.17,848122.29
JL_S,636050.22,845122.1,328464.54,178076.24,176311.06,176311.06,282601.64,158645.35,138071.09,647476.75,647476.75,0,64301.54,64301.54,257003.04,149671.64,84905.96,331706.3,713434.43,579448.84,128362.43,58843.51,201729.14
KD_L,697413.07,782137.92,390711.15,113990.44,161083.93,161083.93,218361.99,222070.83,78720.91,586638.74,586638.74,64301.54,0,0,199024.71,86654.22,33310.41,267406.8,649317.54,515615.76,191880.75,117442.11,265108.49
KD_S,697413.07,782137.92,390711.15,113990.44,161083.93,161083.93,218361.99,222070.83,78720.91,586638.74,586638.74,64301.54,0,0,199024.71,86654.22,33310.41,267406.8,649317.54,515615.76,191880.75,117442.11,265108.49
LB_L,892585.66,595039.17,584551.81,104849.59,307010.39,307010.39,117315.76,413806.61,120324.76,391711.48,391711.48,257003.04,199024.71,199024.71,0,150048.85,172168.3,133762.11,476035.71,339421.66,383683.23,314668.91,456583.89
MK_S,772470.78,706176.36,468739.72,45373.27,157715.22,157715.22,134946.35,303679.16,64398.66,518043.18,518043.18,149671.64,86654.22,86654.22,150048.85,0,86028.64,185433.52,568470.09,436789.61,273979.7,196446.22,346262.03
MN_S,720902.32,761436.77,413159.13,99741.22,190641.27,190641.27,206814.72,242841.01,53606.74,562660.33,562660.33,84905.96,33310.41,33310.41,172168.3,86028.64,0,253583.33,632369.72,497436.67,212574.78,142616.23,285856.41
PW_L,957220.04,522911.36,654167.93,154283.13,306641.17,306641.17,51059.53,488443.26,202981.77,345901.66,345901.66,331706.3,267406.8,267406.8,133762.11,185433.52,253583.33,0,383039.28,252114.65,458500.68,381588.81,531231.99
TB_S,1339295.65,162358.08,1037186.75,535363.67,673758.89,673758.89,433693.01,871090.21,579484.97,175907.17,175907.17,713434.43,649317.54,649317.54,476035.71,568470.09,632369.72,383039.28,0,136619.73,841026.76,764520.04,913986.89
WC_L,1209158.98,271637.81,905124.92,401673.25,552230.35,552230.35,303172.63,737676.51,444254.8,139448.19,139448.19,579448.84,515615.76,515615.76,339421.66,436789.61,497436.67,252114.65,136619.73,0,707496.5,631775.73,780690.4
YD_L,508978.26,973483.76,200872.68,305848.67,240571.72,240571.72,408634.8,30289.7,266091.77,775042.24,775042.24,128362.43,191880.75,191880.75,383683.23,273979.7,212574.78,458500.68,841026.76,707496.5,0,78408.61,73368.65
YJ_S,579971.37,899244.87,273569.59,230395.79,174985.88,174985.88,331356.82,107478.45,194821.99,703932.17,703932.17,58843.51,117442.11,117442.11,314668.91,196446.22,142616.23,381588.81,764520.04,631775.73,78408.61,0,149836.35
BG_L,436565.99,1046851.22,128493.44,379017.3,296232.32,296232.32,481132.98,43084.31,339406.14,848122.29,848122.29,201729.14,265108.49,265108.49,456583.89,346262.03,285856.41,531231.99,913986.89,780690.4,73368.65,149836.35,0
